공항코드(IATA),영문공항명,한글공항명,지역,영문국가명,한글국가명,영문도시명
TLJ,Tatakoto Tuamoto  Airport,타타코토 공항,대양주,French Polynesia,프랑스령폴리네시아,Tatakoto
TEK,Tatalina Air Force Station,타탈리나 LRRS,북미,United States of America,미국,Tatalina
TAT,Tatitlek Airport,타티틀렉 공항,북미,United States of America,미국,Tatitlek
TUO,Poprad-Tatry Airport,포프라드 타트라 공항,유럽,Slovakia,슬로바키아,Tatry
TRG,Taupo Airport,타우포 공항,대양주,New Zealand,뉴질랜드,Taupo
TWU,Tauranga Airport,토랑가 공항,대양주,New Zealand,뉴질랜드,Tauranga
RZP,Tawau Airport,타와무 국제공항,아시아,Malaysia,말레이시아,Tawau
TBS,Taytay Sandoval CLR Airport,타이베이 산도발 CLR 공항,아시아,Philippines,필리핀,"Taytay Airport, Sandoval Airport"
TEU,Tbilisi International Airport,트빌리시 국제공항 ,유럽,Georgia,조지아,Tbilisi
TEE,Te Anau Manapouri Airport,마나푸리 공항,대양주,New Zealand,뉴질랜드,Te Anau
TFF,Tebessa Airport,테싸 공항,아프리카,Algeria,알제리,Tebessa
TGU,Tefe Mayor Orlando Marinho Airport,테페 공항,중남미,Brazil,브라질,Tefe
IKA,Tegucigalpa Toncontin International Airport,통꼰틴 공항,중남미,Honduras,온두라스,Tegucigalpa
THR,Tehran Imam Khomeini International Airport,아맘 호메이티 국제공항,중동,Iran,이란,Tehran
TCN,Tehran Mehrabad Airport,메드라밧 국제공항,중동,Iran,이란,Tehran
TXF,Tehuacan National Airport,테후카 공항,중남미,Mexico,멕시코,Tehuacan
TEQ,Teixeira de Freitas Airport,테이셰이라 데 프라이타스 공항,중남미,Brazil,브라질,Teixeira De Freitas
TLV,Tekirdag Corlu Ataturk Airport,코르루 공항  ,유럽,Turkey,터키,Tekirdag
TEA,Tel Aviv Ben Gurion International Airport,반구리온 국제공항,중동,Israel,이스라엘,Tel Aviv Yafo / Tel Aviv
TLA,Tela Airport,텔라 공항,중남미,Honduras,온두라스,Tela
TEX,Teller Airport,텔러 공항,북미,United States of America,미국,Teller
TEL,Telluride Regional Airport,텔룩리드 지역공항,북미,United States of America,미국,Telluride
ZCO,Telupid Airport,텔루피드 공항,아시아,Malaysia,말레이시아,Telupid
TKE,Temuco La Araucania International Airport,마퀘후에 공항,중남미,Chile,칠레,Temuco
TCZ,Tenakee Springs Sea Plane Base,테나키 스프링스 해상 비행기 기지,북미,United States of America,미국,Tenakee Springs
TFN,Tengchong Tuofeng Airport,텅충 투공 공항,아시아,China,중국,Tenchong County
TFS,Tenerife-Norte Airport,노르테 로스 로데오스 공항,유럽,Spain,스페인,Tenerife
TCA,Tenerife-Sur Airport,쉬흐 라이나 소피아 공항  ,유럽,Spain,스페인,Tenerife
TPQ,Tennant Creek Airport,테넌트크릭 공항,대양주,Australia,오스트레일리아,Tennant Creek
TER,Tepic Airport,아마도 네르보 내셔널 공항,중남미,Mexico,멕시코,Tepic
TII,Terceira Lajes Airport,라예즈 공항,유럽,Portugal,포르투갈,Terceira Island
THE,Tirinkot Airport,테란 공항,중동,Afghanistan,아프카니스탄,Tereen
RHD,Teresina Senador Petronio Portella Airport,세나됴 페트로니오 포르텔라 공항,중남미,Brazil,브라질,Teresina
TMJ,Rio Hondo Airport,리오 혼도 공항,중남미,Argentina,아르헨티나,Termas de Rio Hondo
TTE,Termez Airport,테르메스 공항,아시아,Uzbekistan,우즈베키스탄,Termez
YXT,Ternate Babullah Airport,바둘라 공항,아시아,Indonesia,인도네시아,Ternate
HUF,Terrace-Kitimat Northwest Regional Airport,테라스 공항,북미,Canada,캐나다,Terrace
TEV,Terre Haute Regional Airport,훌먼 필드 공항,북미,United States of America,미국,Terre Haute
TET,Teruel Airport,테루엘 공항,유럽,Spain,스페인,Teruel
ZTB,Tete Matundo Chingozi Airport,마툰도 공항  ,아프리카,Mozambique,모잠비크,Tete
TEB,Tete-A-La Baleine Airport,테트아라 베일린 공항,북미,Canada,캐나다,Tete-a-la-Baleine
TTU,Teterboro Airport,테터보로 공항,북미,United States of America,미국,Teterboro
YGB,Tetouan Sania Ramel Airport,사니아 라멜 공항,아프리카,Morocco,모로코,Tetouan
TXK,Gillies Bay Airport,텍사다 공항,북미,Canada,캐나다,Texada
TEZ,Texarkana Regional Airport,텍사카나 지역공항,북미,United States of America,미국,Texarkana
TEI,Tezpur Salonibari Airport,테즈퍼 공항 ,아시아,India,인도,Tezpur
SNW,Tezu Airport,테즈 공항,아시아,India,인도,Tezu
THG,Thandwe Airport,탄드베 공항,아시아,Myanmar,버마,Thandwe
XTG,Thangool Airport,탄굴 공항,대양주,Australia,오스트레일리아,Thangool
TBI,Thargomindah Airport,타르고민다 공항,대양주,Australia,오스트레일리아,Thargomindah
YQD,New Bight Airport,뉴베이 공항,중남미,Bahamas,바하마,The Bight
AXA,The Pas Airport,더파스 공항,북미,Canada,캐나다,The Pas
SKG,Anguilla Clayton J. Lloyd International Airport,월블레이크 공항,중남미,Anguilla,앵귈라,The Valley
TVF,Thessaloniki Makedonia Airport,테살로니키 국제공항 ,유럽,Greece,그리스,Thessaloniki
TRV,Thief River Falls Regional Airport,도둑 강 폭포 리저널 공항,북미,United States of America,미국,Thief River Falls
YTH,Thiruvananthapuram Trivandrum International Airport,트리반드럼 국제공항,아시아,India,인도,Thiruvananthapuram
TCR,Thompson Airport,톰슨 공항,북미,Canada,캐나다,Thompson
KTB,Tuticorin Airport,투티코린 공항,아시아,India,인도,Thoothukudi
THO,Thorne Bay Airport,손베이 공항,북미,United States of America,미국,Thorne Bay
YQT,Thorshofn Airport,토쇼픈 공항,유럽,Iceland,아이슬란드,Thorshofn
JIO,Thunder Bay International Airport,썬더베이 국제공항,북미,Canada,캐나다,Thunder Bay
TSN,Tiakur Jos Orna Imsula Airport,티아쿠르 조스 오르나 임술라 공항,아시아,Indonesia,인도네시아,Tiakur
THQ,Tianjin Binhai International Airport,톈진  빈하이 국제공항,아시아,China,중국,Tianjin
TID,Tianshui Maijishan Airport,톈수이 마이지산 공항,아시아,China,중국,Tianshui
TIJ,Tiaret Bouchekif Airport,부체키프 공항,아프리카,Algeria,알제리,Tiaret
TIH,Tijuana Rodriguez Airport,티후아나 국제공항 ,중남미,Mexico,멕시코,Tijuana
IKS,Tikehau Atoll Airport,타케하우 공항,대양주,French Polynesia,프랑스령폴리네시아,Tikehau
TIU,Tiksi Airport,틱시 공항,유럽,Russian Federation,러시아,Tiksi
TIM,Timaru Richard Pearse Airport,리챠트 피어스 공항,대양주,New Zealand,뉴질랜드,Timaru
TMX,Tembagapura Timika Airport,템바가푸라 공항,아시아,Indonesia,인도네시아,Timika
TSR,Timimoun Airport,티미먼 공항,아프리카,Algeria,알제리,Timimoun
YTS,Timisoara Traian Vuia Airport,티미쇼아라 트라이언 부이아 국제공항,유럽,Romania,루마니아,Timisoara
TNC,Timmins Victor M. Power Airport,티민스 공항,북미,Canada,캐나다,Timmins
TIN,Tin City LRRS Airport,틴시티 LRRS,북미,United States of America,미국,Tin City
TGI,Tindouf Airport,틴도프 공항,아프리카,Algeria,알제리,Tindouf
TIQ,Tingo Maria Airport,팅고마리아 공항,중남미,Peru,페루,Tingo Maria
TOD,Tinian International Airport,티니안 국제공항,대양주,Northern Mariana Islands,북마리아나제도,Tinian Island
TIA,Tioman Airport,티오만 공항,아시아,Malaysia,말레이시아,Tioman
TGM,Tirana Rinas Airport,티라나 리냐스 공항  ,유럽,Albania,알바니아,Tirana
TRZ,Tirgu Mures Airport,티구루 무레슈 국제공항,유럽,Romania,루마니아,Tirgu
TIR,Tiruchirappalli Airport,티룬치라팔리 시빌 공항,아시아,India,인도,Tiruchirapalli ( Trichy )
TIV,Tirupati Airport,티루파티 공항,아시아,India,인도,Tirupati ( Tirupathi )
TLM,Tivat Airport,티밧 공항,유럽,Montenegro,몬테네그로,Tivat
TMM,Tlemcen Zenata Airport,제너타 공항,아프리카,Algeria,알제리,Tlemcen
TAB,Toamasina Airport,토아마시나 공항,아프리카,Madagascar,마다가스카르,Toamasina
TOB,Tobago ANR Robinson International Airport,크라운 포인트 국제공항,중남미,Trinidad and Tobago,트리니다드토바고,Tobago
TCG,Tobruk Airport,토브룩 공항,아프리카,Libya,리비아,Tobruk
TOC,Tacheng Airport,토마쉬 공항,아시아,China,중국,Tocache
YAZ,Toccoa Airport,토코아 공항,북미,United States of America,미국,Toccoa
TOG,Tofino Airport,토피노 공항,북미,Canada,캐나다,Tofino
TKJ,Togiak Airport,토기악 공항,북미,United States of America,미국,Togiak Village
TJK,Tok Airport,톡 공항,북미,United States of America,미국,Tok
OOK,Tokat Airport,토캇 공항,유럽,Turkey,터키,Tokat
TKN,Toksook Bay Airport,톡숙베이 공항,북미,United States of America,미국,Toksook Bay
HND,Tokunoshima Airport,도쿠노시마 공항,아시아,Japan,일본,Tokunoshima
NRT,Tokyo Haneda Airport,동경국제공항 ,아시아,Japan,일본,Tokyo
TOL,Tokyo Narita Airport,나리타 공항,아시아,Japan,일본,Tokyo
TOW,Eugene F. Kranz Toledo Express Airport,톨레도 익스프레스 공항,북미,United States of America,미국,Toledo
TLI,Toledo Airport,톨레도 공항,중남미,Brazil,브라질,Toledo
TLE,Tolitoli Lalos Airport,라로스 공항,아시아,Indonesia,인도네시아,Toli Toli
TLU,Toliara Airport,툴레아 공항,아프리카,Madagascar,마다가스카르,Toliara
TLC,Tolu Golfo de Morrosquillo Airport,골포드모로스킬로 공항,중남미,Colombia,콜롬비아,Tolu
TOM,Mexico City Toluca Airport,릭 아돌포 로페즈 마테오즈 국제공항,중남미,Mexico,멕시코,Toluca
TOF,Timbuktu (Tombouctou) Airport,통북투 공항,아프리카,Mali,말리,Tombouctou
TNH,Tomsk Bogashevo Airport,보가쉐프 공항,유럽,Russian Federation,러시아,Tomsk
TGO,Tonghua Sanyuanpu Airport,퉁화 류헤 공항,아시아,China,중국,Tonghua
TGH,Tongliao Airport,퉁랴오  공항,아시아,China,중국,Tongliao
TEN,Tongoa Airport,통고아 공항,대양주,Vanuatu,바누아투,Tongoa
TWB,Tongren Fenghuang Airport,퉁런 닥싱 공항,아시아,China,중국,Tongren
WTB,Toowoomba Airport,터움바 공항,대양주,Australia,오스트레일리아,Toowoomba
FOE,Toowoomba Wellcamp Airport,터움바웰캄프 공항,대양주,Australia,오스트레일리아,Toowoomba
VDY,Topeka Regional Airport,포브스 필드,북미,United States of America,미국,Topeka
YTZ,Vidyanagar Jindal Airport,진달 비자이나가르 공항,아시아,India,인도,Toranagallu 
YYZ,Billy Bishop Toronto City Airport,빌리비숍 토론토 시티 공항 ,북미,Canada,캐나다,Toronto
YKZ,Toronto Pearson International Airport,피어슨 국제공항,북미,Canada,캐나다,Toronto
TOJ,Toronto Buttonville Municipal Airport,토론토 버튼빌 시공항,북미,Canada,캐나다,Toronto / Buttonville
TRC,Madrid Torrejon Airport,토레존 공군기지,유럽,Spain,스페인,Torrejon
TYF,Torreon Airport,프란시스 사라비아 국제공항 ,중남미,Mexico,멕시코,Torreon
TTB,Torsby Airport,토르스비 공항,유럽,Sweden,스웨덴,Torsby
TNZ,Tortoli Arbatax Airport,토톨리 아르바탁스 공항,유럽,Italy,이탈리아,Tortoli
GMR,Tosontsengel Airport,톤센겔 공항,아시아,Mongolia,몽고,Tosontsengel
TTJ,Gambier Island Airport,톳트제리 공항,대양주,French Polynesia,프랑스령폴리네시아,Totegegie
TGR,Tottori Sand Dunes Conan Airport,돗토리 /도토리 공항,아시아,Japan,일본,Tottori
TOU,Touggourt Sidi Mahdi Airport,투구트 시디 마디 공항,아프리카,Algeria,알제리,Touggourt
TLN,Touho Airport,투호 공항,대양주,New Caledonia,뉴칼레도니아,Touho
TLS,Toulon Hyeres Airport,툴롱 예르 공항 ,유럽,France,프랑스,Toulon
TUF,Toulouse Blagnac Airport,툴루즈 블라냑 공항,유럽,France,프랑스,Toulouse
TSV,Tours Val de Loire Airport,투르 발 드 르와 공항,유럽,France,프랑스,Tours
TOY,Townsville Airport,타운스빌 국제공항,대양주,Australia,오스트레일리아,Townsville
TOE,Toyama Airport,토하마 /토이아마 공항,아시아,Japan,일본,Toyama
TZX,Tozeur Nefta International Airport,네플라 공항,아프리카,Tunisia,튀니지,Tozeur
YZZ,Trabzon Airport,트라브존 공항,유럽,Turkey,터키,Trabzon
TST,Trail Regional Airport,트레일 리저널 공항,북미,Canada,캐나다,Trail
TPS,Trang Airport,트랑 공항,아시아,Thailand,태국,Trang
TDX,Trapani Birgi Airport,빈첸초 플로리오 공항,유럽,Italy,이탈리아,Trapani
TVC,Trat Airport,뜨랏 공항,아시아,Thailand,태국,Trat
TCB,Cherry Capital Airport,체리 캐피탈 공항,북미,United States of America,미국,Traverse City
REL,Treasure Cay Airport,트레져 케이 공항,중남미,Bahamas,바하마,Treasure Cay
TQR,Trelew Almirante Marcos A. Zar Airport,알미란테 챠르 공항,중남미,Argentina,아르헨티나,Trelew
TTN,Isole Tremiti Heliport,이솔레 트레미티 헬리포트,유럽,Italy,이탈리아,Tremiti Islands
TQP,Trenton-Mercer Airport,트렌턴 머서 공항,북미,United States of America,미국,Trenton
TJL,Trepell Airport,트레펠 공항,대양주,Australia,오스트레일리아,Trepell
TSF,Tres Lagoas Plinio Alarcom Airport,트레스 라고스 플리니오 알라콤 공항,중남미,Brazil,브라질,Tres Lagoas
TRI,Venice Treviso Airport,트레비소 공항,유럽,Italy,이탈리아,Treviso
TRS,Tri-Cities Airport,트라이시티 지역공항,북미,United States of America,미국,Tri-Cities
TRR,Trieste Friuli Venezia Giulia Airport,트리스테 푸뤼우리 베네지아 구일리아 ,유럽,Italy,이탈리아,Trieste
TDD,China Bay Airport,차이나 배이 공항,아시아,Sri Lanka,스리랑카,Trincomalee
KYE,Trinidad Jorge Henrich Arauz Airport,테트 Av 호르헤 하인리히 아루와즈 공항,중남미,Bolivia,볼리비아,Trinidad
MJI,Kleyate Airport,클리예트 공항,중동,Lebanon,레바논,Tripoli
TIP,Tripoli Mitiga Airport,미티가 공항,아프리카,Libya,리비아,Tripoli
YRQ,Tripoli Idris International Airport,트리폴리 국제공항,아프리카,Libya,리비아,Tripoli
THN,Trois-Rivieres Airport,트르와 리비에레 공항,북미,Canada,캐나다,Trois-Rivieres
TMT,Trollhattan Airport,트롤하탄 베네르스보리 공항,유럽,Sweden,스웨덴,Trollhattan / Vanersborg
TOS,Trombetas Airport,트롬베타스 공항,중남미,Brazil,브라질,Trombetas
QYR,Tromso/Langnes Airport,트롬쇠 공항 ,유럽,Norway,노르웨이,Tromso
TKF,Troyes Barberey Airport,트루아 바벌리 공항,유럽,France,프랑스,Troyes
TRU,Truckee-Tahoe Airport,트루키타호 공항,북미,United States of America,미국,Truckee
TJI,Trujillo Carlos Martinez de Pinillos Airport,캡틴 FAP 카를로스 마르티네즈 데 피닐로스 공항,중남미,Peru,페루,Trujillo
TSH,Trujillo Capiro Airport,트루히요 카피로 공항,중남미,Honduras,온두라스,Trujillo
WTS,Tshikapa Airport,치카파 공항,아프리카,Democratic Republic of the Congo,콩고 민주공화국,Tshikapa
TSJ,Tsiroanomandidy Airport,챠이오노아맨드디 공항,아프리카,Madagascar,마다가스카르,Tsiroanomandidy
TUW,Tsushima Airport,쓰시마 /츠시마 공항,아시아,Japan,일본,Tsushima
TUB,Tubala Airport,투발라 공항,중남미,Panama,파나마,Tubala
DMA,Tubuai Island Airport,투부아이 공항,대양주,French Polynesia,프랑스령폴리네시아,Tubuai
TUS,Tucson Davis-Monthan Air Force Base,데이비스 먼산 공군기지,북미,United States of America,미국,Tucson
TUC,Tucson International Airport,투손 국제공항,북미,United States of America,미국,Tucson
TUV,Tucuman Benjamin Matienzo Airport,타트 제네랄 벤쟈민 마티엔조 국제공항,중남미,Argentina,아르헨티나,Tucuman
TUR,Tucupita San Rafael Airport,투쿠피타 공항,중남미,Venezuela,베네수엘라,Tucupita
TFI,Tucurui Airport,투쿠루이 공항,중남미,Brazil,브라질,Tucurui
TUG,Tufi Airport,투피 공항,대양주,Papua New Guinea,파푸아뉴기니,Tufi
YUB,Tuguegarao Airport,터그라우 공항,아시아,Philippines,필리핀,Tuguegarao
TUA,Tuktoyaktuk Airport,투크토야투크 공항,북미,Canada,캐나다,Tuktoyaktuk
TCE,Tulcan Airport,엘 로잘 티엔테 만틸랴 공항,중남미,Ecuador,에콰도르,Tulcan
ZFN,Tulcea Airport,툴체아 공항,유럽,Romania,루마니아,Tulcea
TUL,Tulita/Fort Norman Tulita Airport,툴리타 / 포트 노먼 공항,북미,Canada,캐나다,Tulita / Fort Norman
RVS,Tulsa International Airport,털사 국제공항,북미,United States of America,미국,Tulsa
TLQ,Tulsa Riverside Airport,털사 리버사이드 공항,북미,United States of America,미국,Tulsa
TLT,Turpan Jiaohe Airport,투르판 교아오 공항,아시아,China,중국,Tulufan
TCO,Tuluksak Airport,툴룩삭 공항,북미,United States of America,미국,Tuluksak
TBM,Tumaco La Florida Airport,라 플로리다 공항,중남미,Colombia,콜롬비아,Tumaco
TBP,Tumbang Samba Airport,텀방 삼바 공항,아시아,Indonesia,인도네시아,Tumbang Samba-Borneo Island
TMI,Tumbes Airport,툼베스 공항,중남미,Peru,페루,Tumbes
TWC,Tumling Tar Airport,투밍타르 공항,아시아,Nepal,네팔,Tumlingtar
UTM,Tumushuke Tangwangcheng Airport,툭툭 탕왕 청 공항,아시아,China,중국,Tumxuk
TUN,Tunica Municipal Airport,투니차 시립 공항,북미,United States of America,미국,Tunica
WTL,Tunis Carthage Airport,튀니스 카르타쥐 국제공항,아프리카,Tunisia,튀니지,Tunis
TNK,Tuntutuliak Airport,툰투툴리악 공항,북미,United States of America,미국,Tuntutuliak
TUP,Tununak Airport,투누낙 공항,북미,United States of America,미국,Tununak
TUI,Tupelo Regional Airport,투펠로 지역공항,북미,United States of America,미국,Tupelo
TUK,Turaif Airport,퉈리프 국내공항,중동,Saudi Arabia,사우디아라비아,Turaif
ZTA,Turbat Airport,터밧 국제공항,아시아,Pakistan,파키스탄,Turbat
TRN,Tureia Airport,터 레이아 공항,대양주,French Polynesia,프랑스령폴리네시아,Tureia
CRZ,Turin Caselle Airport,투린 국제공항 ,유럽,Italy,이탈리아,Turin ( Torino )
KRW,Turkmenabad Airport,투크메나바트 공항,아시아,Turkmenistan,투르크메니스탄,Turkmenabat ( Chardzhou )
TKU,Turkmenbashi Airport,투크멘바시 공항,아시아,Turkmenistan,투르크메니스탄,Turkmenbashi
THX,Turku Airport,투르쿠 공항,유럽,Finland,핀란드,Turku
TCL,Turukhansk Airport,투루간스크 공항,유럽,Russian Federation,러시아,Turukhansk
NKI,Tuscaloosa National Airport,터스컬루사 시공항,북미,United States of America,미국,Tuscaloosa
TGZ,Naukiti Airport,나우키티 공항,북미,United States of America,미국,Tuxekan Island
TBB,Tuxtla Gutierrez Angel Albino Corzo International Airport,앙헬알비노코르조 국제공항,중남미,Mexico,멕시코,Tuxtla Gutierrez
TZL,Tuy Hoa Airport,동 탁 공항,아시아,Vietnam,베트남,Tuy Hoa
KLD,Tuzla International Airport,투즐라 국제공항,유럽,Bosnia and Herzegovina,보스니아 헤르체고비나,Tuzla
TWF,Tver Migalovo Airport,미갈로프 공항,유럽,Russian Federation,러시아,Tver
TWA,Magic Valley Regional Airport,조슬린 필드 매직 밸리 지역공항,북미,United States of America,미국,Twin Falls
TWZ,Twin Hills Airport,트윈힐스 공항,북미,United States of America,미국,Twin Hills
TWH,Pukaki Airport,푸카키 비행장,대양주,New Zealand,뉴질랜드,Twizel
TYR,Catalina Island Two Harbors Airport,카탈리나 섬 2 항구 공항,북미,United States of America,미국,Two Harbors
ZZO,Tyler Pounds Regional Airport,타일러 파운즈 지역공항,북미,United States of America,미국,Tyler
TYD,Tymovskoye Zonalnoye Airport,티모프스코예 조날노예 공항,유럽,Russian Federation,러시아,Tymovskoye
TJM,Tynda Airport,틴다 공항,유럽,Russian Federation,러시아,Tynda 
UAH,Tyumen Roshchino Airport,로치노 공항,유럽,Russian Federation,러시아,Tyumen
QUB,Ua Huka Airport,우아 후카 공항,대양주,French Polynesia,프랑스령폴리네시아,Ua Huka
UBT,Ubari Airport,우바리 공항,아프리카,Libya,리비아,Ubari
UBJ,Estadual Gastao Madeira Airport,에스타두알 가스타오 마데이라 공항,중남미,Brazil,브라질,Ubatuba
UBA,Ube Airport,야마구치 우베 공항,아시아,Japan,일본,Ube
UDI,Uberaba Airport,우베라바 공항,중남미,Brazil,브라질,Uberaba
UBP,Uberlandia Cesar Bombonato Airport,우벨란디아 공항,중남미,Brazil,브라질,Uberlandia
UDR,Ubon Ratchathani Muang Ubon Airport,유본 라차태니 공항,아시아,Thailand,태국,Ubon Ratchathani
UTH,Udaipur Dabok Airport,마하나라 프라탑 공항 ,아시아,India,인도,Udaipur
UFA,Udon Thani Airport,우돈타니 공항,아시아,Thailand,태국,Udon Thani
UHE,Ufa International Airport,우파 공항,유럽,Russian Federation,러시아,Ufa
UGO,Uherske Hradiste Kunovice Airport,쿠노비체 공항,유럽,Czech Republic,체코 공화국,Uherske Hradiste
UJE,Uige Airport,우이게 공항,아프리카,Angola,앙골라,Uige
UPG,Ujae Island Airport,우재도 공항,대양주,Marshall Islands,마셜제도,Ujae Atoll
UCT,Makassar Sultan Hasanuddin Airport,하사누딘 공항,아시아,Indonesia,인도네시아,Ujung Pandang
UKA,Ukhta Airport,유크타 공항,유럽,Russian Federation,러시아,Ukhta
ULN,Ukunda Airport,우쿤다 공항,아프리카,Kenya,케냐,Ukunda
ULO,Ulaanbaatar Buyant Ukhaa International Airport,칭지스 칸 국제공항,아시아,Mongolia,몽고,Ulaanbaatar
UUD,Ulaangom Airport,울란곰 공항,아시아,Mongolia,몽고,Ulaangom
HLH,Ulan-Ude Baikal Airport,무키노 공항,유럽,Russian Federation,러시아,Ulan
UCB,Ulanhot Airport,우란하오터  공항,아시아,China,중국,Ulanhot
ULB,Ulanqab Airport,울란캅 지닝 공항,아시아,China,중국,Ulanqab
ULZ,Ulei Airport,울라이 공항,대양주,Vanuatu,바누아투,Ulei
USN,Uliastai Airport,울리아스타이 공항,아시아,Mongolia,몽고,Uliastai
ULD,Ulsan Airport,울산 공항,아시아,South Korea,대한민국,Ulsan
ULX,Prince M. Buthelezi,유런디 공항,아프리카,South Africa,남아프리카,Ulundi
ULY,Ulusaba Airport,울루사바 공항,아프리카,South Africa,남아프리카,Ulusaba
ULV,Ulyanovsk Vostochny Airport,보스토츄니 공항,유럽,Russian Federation,러시아,Ulyanovsk
UME,Ulyanovsk Baratayevka Airport,울랴놉스크 바라타예프카 공항,유럽,Russian Federation,러시아,Ulyanovsk
YUD,Umea Airport,우메오 공항,유럽,Sweden,스웨덴,Umea
UGT,Umiujag Airport,우미우작 공항,북미,Canada,캐나다,Umiujaq
UTT,Bulagtai,불라그타이,아시아,Mongolia,몽고,Umnugobitour
UNA,Mthatha Airport,므타사 공항,아프리카,South Africa,남아프리카,Umtata
UNK,Una-Comandatuba Airport,우나코만다투바 공항,중남미,Brazil,브라질,Una
DUT,Unalakleet Airport,유나클리트 공항,북미,United States of America,미국,Unalakleet
JUV,Dutch Harbor Emergency Field,언알라스카 공항,북미,United States of America,미국,Unalaska
UTN,Upernavik Airport,우페르나비크 공항,유럽,Greenland,그린란드,Upernavik
CCB,Upington International Airport,우핑턴 공항,아프리카,South Africa,남아프리카,Upington
URA,Upland Cable Airport,케이블 공항,북미,United States of America,미국,Upland
YBE,Oral Ak Zhol Airport,오랄 공항,아시아,Kazakhstan,카자흐스탄,Uralsk
URJ,Uranium City Airport,우라늄 시티 공항,북미,Canada,캐나다,Uranium City
UGC,Uray Airport,우레이 공항,유럽,Russian Federation,러시아,Uray
OMH,Urgench Airport,우르겐치 공항,아시아,Uzbekistan,우즈베키스탄,Urgench
UPN,Urmieh Umieh Airport,우르 미아 공항,중동,Iran,이란,Urmia
URG,Uruapan International Airport,릭 y 제너럴 이그냐시오 로페즈 라온 공항,중남미,Mexico,멕시코,Uruapan
URC,Uruguaiana Ruben Berta Airport,루흐벤 베르타 공항,중남미,Brazil,브라질,Uruguaiana
USQ,Urumqi Diwopu International Airport,우루무치  디와푸 국제공항,아시아,China,중국,Urumqi
USH,Usak Airport,우삭 공항,유럽,Turkey,터키,Usak
USK,Ushuaia Islas Malvinas Airport,이슬라스 말비나스 공항,중남미,Argentina,아르헨티나,Ushuaia
UKK,Usinsk Airport,우신스크 공항,유럽,Russian Federation,러시아,Usinsk
UIK,Ust-Kamenogorsk Airport,우스트 카메노고르스크 공항,아시아,Kazakhstan,카자흐스탄,Ust Kamenogorsk
UKX,Ust-Ilimsk Airport,우스트-일림스크 공항,유럽,Russian Federation,러시아,Ust-Ilimsk
UKG,Ust-Kut Airport,우스쿠트 공항,유럽,Russian Federation,러시아,Ust-Kut
UMS,Ust-Kuyga Airport,우스쿠이가 공항,유럽,Russian Federation,러시아,Ust-Kuyga
USR,Ust-Maya Airport,우스마야 공항,유럽,Russian Federation,러시아,Ust-Maya
UTS,Ust-Nera Airport,우스네라 공항,유럽,Russian Federation,러시아,Ust-Nera
UTU,Ust-Tsilma Airport,우스트실마 공항,유럽,Russian Federation,러시아,Ust-Tsylma
UII,Ustupo Airport,우슈투포 공항,중남미,Panama,파나마,Ustupo
UTK,Utila Airport,우틸라 공항,중남미,Honduras,온두라스,Utila Island
UTO,Utirik Airport,우티리크 공항,대양주,Marshall Islands,마셜제도,Utirik Island
UMD,Utopia Creek Indian Mountain LRRS Airport,인디안 마운트 LRRS,북미,United States of America,미국,Utopia Creek
JQA,Uummannaq Umanak Airport,우매냑 공항,유럽,Greenland,그린란드,Uummannaq
QUO,Qaarsut Airport,카아수트 공항,유럽,Greenland,그린란드,Uummannaq
UDJ,Obong Victor Attah International Airport,오봉 빅터 아타 국제공항,아프리카,Nigeria,나이지리아,Uyo
VAA,Uzhhorod International Airport,우쵸러드 공항,유럽,Ukraine,우크라이나,Uzhhorod
BDQ,Vaasa Airport,바사 공항,유럽,Finland,핀란드,Vaasa
VDS,Vadodara Airport,바도다라 공항 ,아시아,India,인도,Vadodara ( Baroda )
VRY,Vadso Airport,바드쇠 공항,유럽,Norway,노르웨이,Vadso
VHZ,Vaeroy Airport,브로이 헬리포트 ,유럽,Norway,노르웨이,Vaeroy
EGE,Vahitahi Airport,버히타이 공항,대양주,French Polynesia,프랑스령폴리네시아,Vahitahi
VDZ,Vail Eagle County Regional Airport,이글카운티  지역공항,북미,United States of America,미국,Vail/Eagle
ZAL,Valdez Municipal Airport,밸디즈 시공항  ,북미,United States of America,미국,Valdez
YVO,Valdivia Pichoy Airport,피쵸이 공항,중남미,Chile,칠레,Valdivia
VLD,Val D'Or Airport,발도로 공항,북미,Canada,캐나다,Val-d'Or
VAL,Valdosta Regional Airport,발도스타  지역공항,북미,United States of America,미국,Valdosta
VLN,Valenca Airport,발렌시아 공항,중남미,Brazil,브라질,Valenca
VLC,Valencia Arturo Michelena Airport,아우투로 마이클레나 국제공항,중남미,Venezuela,베네수엘라,Valencia
VLV,Valencia Manises Airport,발렌시아 공항,유럽,Spain,스페인,Valencia / Manises
VLS,Valera Carvajal Airport,카바잘 공항,중남미,Venezuela,베네수엘라,Valera
VLL,Valesdir Airport,바레스디 공항,대양주,Vanuatu,바누아투,Valesdir
VUP,Valladolid Airport,바야돌리드 공항,유럽,Spain,스페인,Valladolid
VPS,Valledupar Alfonso Lopez Pumarejo Airport,알폰소 로제즈 푸마레조 공항,중남미,Colombia,콜롬비아,Valledupar
VDE,Destin-Fort Walton Beach International Airport,포트 월튼 비치 공항,북미,United States of America,미국,Valparaiso
VAN,Valverde El Hierro Airport,히에로 공항,유럽,Spain,스페인,Valverde
